,obs0,obs1,obs2,obs3,obs4,obs5,obs6,next_obs0,next_obs1,next_obs2,next_obs3,next_obs4,next_obs5,next_obs6,env_id0,env_vec0,env_vec1
47,0.7351458341766316,0.2146960750048229,0.30668599417449116,-0.13578565701227652,-0.2854315883709086,0.06997694353193853,0.10322647789401238,0.7503028013289708,0.20798530639397167,0.30079016843584305,-0.13317527184060568,-0.29799594647379896,0.029769107412982387,0.10963068681687298,0.0,0.0,0.0
48,0.7499575846435207,0.20813815156895799,0.28940136880859674,-0.12813286472276725,-0.2953965364402737,0.03209128997610192,0.11716022786133495,0.7642603148763797,0.20180559756053093,0.2838378280162809,-0.12566959918032652,-0.29912534457688067,0.006799484748884102,0.12812248021367645,0.0,0.0,0.0
49,0.7639345543812723,0.2019498284797677,0.2730908938105516,-0.12091137888428524,-0.2999416632010403,-0.0009753908409061568,0.12948563373534083,0.7774311919379729,0.19597417314204638,0.26784091059872434,-0.1185869414034011,-0.3007474534571703,-0.024437886911569798,0.13821360864024956,0.0,0.0,0.0
50,-0.279095876668338,0.5060308028617676,0.2883374087939352,0.08318483595412629,0.5621186182409719,-0.39045034531807526,-0.1482648046318662,-0.26517029209503257,0.5100483095499948,0.27208689789795887,0.0784965921056889,0.574071484532297,-0.39804397820317644,-0.12506389907286963,1.0,0.0,0.1
51,-0.26517029209503257,0.5100483095499948,0.27208689789795887,0.0784965921056889,0.5907800678869715,-0.40467697187650414,-0.11532140795409235,-0.25202954451109966,0.5138393921454038,0.2567522553434677,0.07407257466498926,0.622252214495787,-0.42020041588450113,-0.0915300742671381,1.0,0.0,0.1
52,-0.25202954451109966,0.5138393921454038,0.2567522553434677,0.07407257466498926,0.6198485900697339,-0.42041796119929675,-0.08837549392790257,-0.23962940100863922,0.5174168117642259,0.24228186337983815,0.06989789200164227,0.6381451654922801,-0.43094483981315324,-0.07181951016624055,1.0,0.0,0.1
53,-0.23962940100863922,0.5174168117642259,0.24228186337983815,0.06989789200164227,0.6404301446468467,-0.43046308152413015,-0.07039957601169042,-0.2279281216179889,0.52079261031439,0.2286270133996703,0.06595849176797283,0.6513070914976642,-0.4317963519660036,-0.06217069023293034,1.0,0.0,0.1
54,-0.2279281216179889,0.52079261031439,0.2286270133996703,0.06595849176797283,0.6572764447914929,-0.43159355056740745,-0.062067830078530506,-0.21688631880732864,0.5239781510296394,0.21574174198134707,0.06224111359758207,0.670413946726479,-0.4262040808886868,-0.06198486378661594,1.0,0.0,0.1
55,-0.21688631880732864,0.5239781510296394,0.21574174198134707,0.06224111359758207,0.6750325810020419,-0.4272038168794834,-0.06182423893255126,-0.20646682490079707,0.5269841567191726,0.20358267617212925,0.058733244469792056,0.6901682474732569,-0.42170815365104564,-0.06666897392900889,1.0,0.0,0.1
56,-0.20646682490079707,0.5269841567191726,0.20358267617212925,0.058733244469792056,0.6916521449384159,-0.42041713096593747,-0.06603033962499093,-0.1966345669688374,0.5298207458615593,0.1921088874909957,0.0554230765897217,0.7029020671199397,-0.41363359187130466,-0.07120987700110111,1.0,0.0,0.1
57,-0.1966345669688374,0.5298207458615593,0.1921088874909957,0.0554230765897217,0.7024624030214462,-0.4105513824914083,-0.07143971434428484,-0.18735644876964325,0.5324974666644244,0.18128175415978987,0.052299467642214395,0.7060698071832698,-0.3998159405689057,-0.07583417558868526,1.0,0.0,0.1
58,-0.18735644876964325,0.5324974666644244,0.18128175415978987,0.052299467642214395,0.7057612644578237,-0.3963690322462291,-0.0768660645358531,-0.17860123934430824,0.5350233292045536,0.17106483109892984,0.04935190328582885,0.703262482445229,-0.3817920200322171,-0.0811521505343469,1.0,0.0,0.1
