,obs0,obs1,obs2,obs3,obs4,obs5,obs6,next_obs0,next_obs1,next_obs2,next_obs3,next_obs4,next_obs5,next_obs6,env_id0,env_vec0,env_vec1
0,-0.2920539090119821,0.5026232112547838,0.12130892432845179,0.04004723027762462,0.5544773995691065,-0.3897793601383728,-0.15656096171288986,-0.2860586062715321,0.5046024165833283,0.11897684431185843,0.03927735002382324,0.5689119598976751,-0.3975436492784328,-0.13682375523839882,0.0,0.0,0.0
1,-0.28657688106130086,0.5044313205986936,0.10213461205705292,0.03371729121338302,0.5710642515762725,-0.39784419895866213,-0.13571729401750987,-0.28152920692726496,0.50609768908338,0.10017114490820686,0.033069099652146446,0.5810220730864244,-0.4004486157133472,-0.12953280934651717,0.0,0.0,0.0
2,-0.23786631356122062,0.5026722480756438,0.6323469221471868,-0.21448926209396538,0.6193784302761959,-0.3096215621144977,-0.22542787359995026,-0.2066146042887893,0.4920718073582954,0.6201904907151434,-0.21036585464746252,0.6220094624398623,-0.2987611504222383,-0.22893496782674655,0.0,0.0,0.0
3,-0.2093162148252857,0.49298818163030234,0.5323970015932844,-0.18058669381204528,0.6192664495020764,-0.29345875956433065,-0.22978694574961817,-0.18300420834819134,0.4840632661198098,0.5221620381296876,-0.17711503975004514,0.6146323067458809,-0.2768258305006364,-0.23259969016743187,0.0,0.0,0.0
4,-0.1852787973415552,0.48483479658460127,0.44824534978845665,-0.15204282798865074,0.6188468214890149,-0.27630423846274466,-0.23711826868434654,-0.16312571512722052,0.4773205696771227,0.43962814352305263,-0.14911990996937433,0.6210106255037767,-0.26427471757747867,-0.2466941882091015,0.0,0.0,0.0
5,-0.1650407783899814,0.4779701506139574,0.37739486324242716,-0.12801065823181104,0.6178394900188774,-0.2586912458335993,-0.24759402978378836,-0.14638925320043353,0.4716436362676096,0.37013970848934674,-0.1255497420244834,0.6173927246985782,-0.2428241100554253,-0.250984408057894,0.0,0.0,0.0
6,-0.1480016180325313,0.47219054324374937,0.3177431352472184,-0.10777705754173897,0.6160345735440471,-0.2392645734442665,-0.25279807745163235,-0.1322981873076079,0.46686400942099354,0.31163474363281873,-0.10570511828803832,0.611272808759523,-0.22289952151177622,-0.25865177792219474,0.0,0.0,0.0
7,-0.13365569878116493,0.46732447127199556,0.26752006937592576,-0.09074161708723037,0.612029872570367,-0.2185064276994072,-0.2598260307607402,-0.12043438127354039,0.46283985920732207,0.2623771814038911,-0.08899717237259808,0.608439827505185,-0.20113995162356063,-0.26590791954527077,0.0,0.0,0.0
8,-0.1215773219803539,0.46322753960906926,0.2252353539069154,-0.07639882976408716,0.6078106715562829,-0.1981392142110897,-0.2680579176515041,-0.11044579029791823,0.45945177359690315,0.22090536029115754,-0.07493011519778249,0.6042654833869365,-0.1830242244287748,-0.2754346244276612,0.0,0.0,0.0
9,-0.11140807568904534,0.45977817651947256,0.18963423853739003,-0.06432308985314909,0.6031602349741689,-0.1787407865840311,-0.275894493160984,-0.1020360144307319,0.4565992150456517,0.1859886516969895,-0.0630865230194847,0.5994405754211236,-0.1622533409240101,-0.276901556991758,0.0,0.0,0.0
10,-0.10284619921849597,0.4568740261203972,0.15966030111115528,-0.05415606366003776,0.6002276321075958,-0.15894814507168012,-0.2774557351289145,-0.09495550324462791,0.4541975371590911,0.15659094244916216,-0.053114950860315154,0.5984600853427089,-0.14550806342535602,-0.2804501865095309,0.0,0.0,0.0
11,-0.09563762873086802,0.45442891108861444,0.13442409950605338,-0.045596056374870755,0.5900969494813932,-0.13452359016468396,-0.2755470200501676,-0.07199918701109707,0.44165614455772195,0.5542429604293757,-0.3061732308375923,0.5760502458752306,-0.1104892801386756,-0.26805575942873694,0.0,0.0,0.0
12,-0.07263480759244359,0.4418838021895097,0.5468663794261915,-0.3067993571338657,0.5745615143570099,-0.1082987425443667,-0.2721021091709133,-0.04319708132300243,0.42523105048728205,0.6172216443399976,-0.35106897360809164,0.5584270551717939,-0.08695087258762563,-0.27143847166309576,0.0,0.0,0.0
